user_id,type,side,quantity,price
72,LIMIT,BUY,3,99
40,LIMIT,SELL,2,99
92,LIMIT,SELL,6,99
94,LIMIT,SELL,1,100
9,LIMIT,BUY,6,100
94,LIMIT,SELL,4,99
45,LIMIT,BUY,8,99
84,LIMIT,BUY,2,99
68,LIMIT,SELL,3,99
18,LIMIT,SELL,8,99
95,LIMIT,SELL,7,99
54,LIMIT,BUY,9,99
8,LIMIT,BUY,9,100
25,LIMIT,BUY,3,100
57,LIMIT,SELL,9,100
39,LIMIT,SELL,8,100
50,LIMIT,BUY,3,99
98,LIMIT,SELL,4,100
82,LIMIT,SELL,4,100
40,LIMIT,SELL,4,100
40,LIMIT,SELL,2,99
14,LIMIT,BUY,1,100
76,LIMIT,SELL,4,99
14,LIMIT,SELL,4,99
65,LIMIT,BUY,7,99
15,LIMIT,SELL,2,99
43,LIMIT,SELL,7,99
82,LIMIT,BUY,2,100
46,LIMIT,SELL,8,100
2,LIMIT,SELL,2,100
86,LIMIT,BUY,1,100
6,LIMIT,BUY,5,100
76,LIMIT,SELL,1,99
98,LIMIT,SELL,9,99
10,LIMIT,SELL,8,100
16,LIMIT,SELL,5,100
74,LIMIT,BUY,9,99
33,LIMIT,SELL,9,100
69,LIMIT,BUY,5,99
78,LIMIT,SELL,3,99
21,LIMIT,SELL,4,100
23,LIMIT,SELL,3,100
43,LIMIT,SELL,3,100
6,LIMIT,BUY,2,99
83,LIMIT,SELL,7,99
90,LIMIT,SELL,6,100
67,LIMIT,SELL,1,99
42,LIMIT,SELL,5,99
73,LIMIT,BUY,8,99
80,LIMIT,SELL,6,100
15,LIMIT,BUY,1,99
33,LIMIT,SELL,6,99
89,LIMIT,BUY,3,100
88,LIMIT,SELL,7,99
15,LIMIT,SELL,5,99
50,LIMIT,BUY,4,99
5,LIMIT,BUY,5,99
98,LIMIT,BUY,3,99
15,LIMIT,BUY,8,100
88,LIMIT,SELL,9,99
8,LIMIT,SELL,5,99
51,LIMIT,SELL,3,99
99,LIMIT,SELL,4,99
22,LIMIT,BUY,7,99
69,LIMIT,SELL,3,100
53,LIMIT,SELL,6,100
28,LIMIT,BUY,1,100
58,LIMIT,BUY,7,100
99,LIMIT,BUY,3,99
43,LIMIT,BUY,2,100
24,LIMIT,SELL,8,99
20,LIMIT,BUY,5,99
55,LIMIT,BUY,8,99
71,LIMIT,SELL,9,100
87,LIMIT,BUY,4,99
94,LIMIT,BUY,1,99
82,LIMIT,SELL,6,99
55,LIMIT,BUY,2,100
43,LIMIT,BUY,5,99
17,LIMIT,SELL,8,100
50,LIMIT,SELL,1,99
18,LIMIT,BUY,1,100
84,LIMIT,BUY,6,100
77,LIMIT,BUY,3,100
65,LIMIT,SELL,7,100
38,LIMIT,SELL,8,99
96,LIMIT,SELL,2,99
31,LIMIT,BUY,7,99
51,LIMIT,BUY,3,99
23,LIMIT,SELL,7,99
19,LIMIT,BUY,6,100
1,LIMIT,BUY,7,100
6,LIMIT,BUY,7,100
28,LIMIT,SELL,6,99
3,LIMIT,SELL,1,99
5,LIMIT,SELL,3,99
7,LIMIT,BUY,3,100
5,LIMIT,SELL,7,99
47,LIMIT,BUY,3,99
52,LIMIT,SELL,8,100
75,LIMIT,SELL,8,99
81,LIMIT,SELL,1,99
92,LIMIT,SELL,5,99
71,LIMIT,BUY,2,99
45,LIMIT,BUY,9,100
97,LIMIT,SELL,7,99
68,LIMIT,BUY,4,100
92,LIMIT,SELL,2,100
82,LIMIT,BUY,1,100
32,LIMIT,SELL,7,99
84,LIMIT,BUY,3,100
87,LIMIT,BUY,4,100
54,LIMIT,BUY,3,99
79,LIMIT,BUY,5,100
59,LIMIT,SELL,5,99
7,LIMIT,SELL,5,100
11,LIMIT,BUY,6,100
74,LIMIT,BUY,1,99
67,LIMIT,BUY,5,100
11,LIMIT,BUY,3,100
35,LIMIT,SELL,1,100
55,LIMIT,SELL,1,99
65,LIMIT,BUY,8,100
62,LIMIT,SELL,4,99
52,LIMIT,BUY,6,99
73,LIMIT,SELL,3,100
15,LIMIT,SELL,3,99
24,LIMIT,BUY,8,99
89,LIMIT,SELL,4,100
45,LIMIT,BUY,4,99
25,LIMIT,SELL,1,99
65,LIMIT,BUY,8,99
40,LIMIT,BUY,9,100
16,LIMIT,BUY,4,99
60,LIMIT,SELL,1,99
40,LIMIT,BUY,2,99
34,LIMIT,SELL,2,100
18,LIMIT,SELL,9,100
32,LIMIT,SELL,3,99
87,LIMIT,BUY,6,99
90,LIMIT,BUY,8,99
46,LIMIT,SELL,8,99
84,LIMIT,BUY,3,99
20,LIMIT,SELL,3,100
26,LIMIT,SELL,1,100
94,LIMIT,SELL,7,99
50,LIMIT,SELL,7,99
46,LIMIT,BUY,5,99
85,LIMIT,SELL,3,100
95,LIMIT,BUY,7,100
67,LIMIT,SELL,9,99
29,LIMIT,BUY,6,100
27,LIMIT,SELL,7,100
45,LIMIT,SELL,7,99
34,LIMIT,BUY,6,100
11,LIMIT,SELL,5,100
95,LIMIT,BUY,6,99
52,LIMIT,BUY,9,100
71,LIMIT,BUY,2,100
24,LIMIT,SELL,2,100
85,LIMIT,SELL,4,99
48,LIMIT,SELL,4,100
71,LIMIT,BUY,6,99
53,LIMIT,BUY,3,99
80,LIMIT,BUY,6,99
86,LIMIT,SELL,2,100
4,LIMIT,SELL,8,100
77,LIMIT,BUY,5,99
87,LIMIT,SELL,7,99
59,LIMIT,SELL,7,99
37,LIMIT,SELL,8,100
52,LIMIT,BUY,3,100
49,LIMIT,SELL,6,99
78,LIMIT,SELL,5,100
100,LIMIT,SELL,7,100
57,LIMIT,BUY,2,99
8,LIMIT,SELL,9,100
26,LIMIT,BUY,3,100
64,LIMIT,SELL,1,99
57,LIMIT,BUY,2,99
96,LIMIT,BUY,9,99
86,LIMIT,SELL,1,100
